familia,especie,modelo,dic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
bell,P. falciparum,model5,89210.5574912655,1.9658415760498165,0.03967193587448231,0.24045808857620288,0.4499280569635718,0.13537870091347076,0.9560635492044198,0.940809968847352,11.55587921536244,9.902801752090454
bell,P. vivax,model5,136225.62887426192,11.29505695716593,0.05097068466432779,0.22281244995944638,0.48096952844569313,0.13835267382933855,0.9414336425317754,0.8473520249221184,52.5164843853978,9.213789343833923
poisson,P. falciparum,model5,77398.15592968362,2.150308502267003,0.0398791042596643,0.24298404086018255,0.45350496078701186,0.13120031132135582,0.9529281263651365,0.881619937694704,6.241947376397531,7.07429575920105
poisson,P. vivax,model5,40396.07525727077,12.617034644774485,0.051341482766207175,0.22676964450969556,0.4867738941547234,0.14102863774038618,0.9411686860453986,0.7118380062305296,23.663891261390383,6.971721410751343
nbinomial,P. falciparum,model5,86259.76683327944,2.7131827684872665,0.04184001272858129,0.2475712769852948,0.4506217162828764,0.15224308072017242,0.9527895685865827,0.9750778816199376,27.866021156012465,9.387534022331238
nbinomial,P. vivax,model5,128483.851490342,12.748480415380058,0.04997943801436351,0.22833199728750708,0.48064602188374755,0.1446264225127421,0.9379048114696736,0.942367601246106,161.58636491326246,8.664005637168884
