codMicroRes,media,variancia,especie
11001,2513.902777777813,1186093.0368620702,P. vivax
11002,146.24537037037234,4262.132485249453,P. vivax
11003,654.1064814814902,124512.36752227317,P. vivax
11004,170.91666666667066,8761.606788667666,P. vivax
11005,24.282407407408517,203.9742105487935,P. vivax
11006,61.837962962964646,1702.3553458915383,P. vivax
11007,19.78240740740871,156.25058358901333,P. vivax
11008,9.689814814815309,99.73780776261619,P. vivax
12001,2201.5046296296728,1889304.3170439997,P. vivax
12002,90.03703703703894,3586.144909318458,P. vivax
12003,1.9398148148148757,3.913666291437102,P. vivax
12004,215.65277777778644,20574.8134518847,P. vivax
12005,5.898148148148268,52.35227096468354,P. vivax
13001,1062.1435185185512,628397.7003994524,P. vivax
13002,84.54629629629802,7438.450080733339,P. vivax
13003,721.4120370370485,536638.4540448217,P. vivax
13004,716.8796296296368,667705.1454521328,P. vivax
13005,510.8101851851897,190636.3933497901,P. vivax
13006,423.46296296296833,127193.11461120805,P. vivax
13007,3145.231481481557,3632449.7449145084,P. vivax
13008,365.4259259259291,78297.56292561142,P. vivax
13009,222.42129629629844,47764.976408903145,P. vivax
13010,92.33796296296768,5403.807647467254,P. vivax
13011,129.81018518518673,7082.658044697323,P. vivax
13012,460.87037037037686,92758.56508692451,P. vivax
13013,663.2222222222287,260015.59240551115,P. vivax
14001,649.5694444444435,253651.8057637137,P. vivax
14002,231.2731481481514,19598.084565841287,P. vivax
14003,256.37500000000443,25218.250534027284,P. vivax
14004,277.94444444444787,35506.6748916803,P. vivax
15001,61.740740740742154,5400.289217538544,P. vivax
15002,204.93518518519105,13361.946545393992,P. vivax
15003,52.67129629629671,2968.729559988159,P. vivax
15004,299.22685185185475,179777.26463598257,P. vivax
15005,1261.6851851851916,1407434.0670454532,P. vivax
15006,70.2916666666662,4816.9991284981015,P. vivax
15007,83.59259259259446,3029.6790861350637,P. vivax
15008,17.175925925924734,540.6772925602977,P. vivax
15009,82.00462962962949,9509.731668991628,P. vivax
15010,133.19907407407658,58603.93249026602,P. vivax
15011,593.9537037037093,1326103.9843167842,P. vivax
15012,102.02777777777948,10274.875403872962,P. vivax
15013,267.2453703703662,62344.083513004975,P. vivax
15014,798.3101851851989,234843.76162469655,P. vivax
15015,554.3888888888978,86933.02418772764,P. vivax
15016,634.0509259259323,241518.2058417308,P. vivax
15017,261.3750000000044,75552.60425728785,P. vivax
15018,34.89351851852028,1588.400909349138,P. vivax
15019,29.25462962963067,1200.9351406146382,P. vivax
15020,91.9305555555559,6223.961532555142,P. vivax
15021,18.027777777778322,500.2439402192838,P. vivax
15022,68.80555555555645,20611.63226176666,P. vivax
16001,333.5185185185259,29674.634174090672,P. vivax
16002,46.347222222222854,1997.7557920431134,P. vivax
16003,685.9907407407421,179938.49317432713,P. vivax
16004,165.296296296298,14673.234259730853,P. vivax
17001,4.06944444444453,18.883436941942957,P. vivax
17002,4.245370370370461,27.32000489460733,P. vivax
17003,4.51851851851842,101.79035780296044,P. vivax
17004,1.7685185185186367,9.819576617955287,P. vivax
17005,0.4027777777777975,1.2557623807617697,P. vivax
17006,2.685185185185208,11.093915957685851,P. vivax
17007,0.01851851851851879,0.027083548191542267,P. vivax
17008,0.10648148148147539,0.20886940611960808,P. vivax
21001,26.37962962962953,1580.3627174934074,P. vivax
21002,14.180555555556882,282.17499923254593,P. vivax
21003,12.870370370370656,530.3383493108271,P. vivax
21004,4.291666666666739,126.48937234472405,P. vivax
21005,52.06018518518474,3270.318924171183,P. vivax
21006,6.467592592592381,287.4030780181879,P. vivax
21007,124.3518518518556,14180.116598980461,P. vivax
21008,75.79166666666657,1450.2314468314676,P. vivax
21009,19.787037037037244,169.67710231576686,P. vivax
21010,17.19444444444411,223.02575218006635,P. vivax
21011,13.791666666667311,82.30953201958603,P. vivax
21012,4.759259259258864,16.481973406388533,P. vivax
21013,2.680555555555706,4.944937009740885,P. vivax
21014,2.6944444444442506,6.915954089274365,P. vivax
21015,8.30092592592588,180.28995063149648,P. vivax
21016,0.2500000000000193,0.3825369315159855,P. vivax
21017,3.0555555555554372,14.531514825448392,P. vivax
21018,1.3333333333333124,2.1914423198462223,P. vivax
21019,1.6851851851852042,14.1473669891818,P. vivax
21020,0.250000000000005,0.3658649309653896,P. vivax
21021,0.06481481481482175,0.16311864689247135,P. vivax
51001,169.23148148148258,10202.215970292551,P. vivax
51002,11.300925925926197,160.84705436834048,P. vivax
51003,14.490740740740646,119.46371619881026,P. vivax
51004,4.6527777777778985,117.13906251706689,P. vivax
51005,1.1898148148148049,3.6163134018443857,P. vivax
51006,7.384259259259133,130.98749371828143,P. vivax
51007,21.648148148148042,998.1089554237731,P. vivax
51008,2.3240740740741748,47.56046552246931,P. vivax
51009,3.060185185185255,70.7888533146767,P. vivax
51010,1.5787037037037877,18.67361177081062,P. vivax
51011,0.20370370370370247,0.6964906874093513,P. vivax
51012,6.819444446420734,923.4594335246107,P. vivax
51013,1.0694444444444788,1.8221688717141578,P. vivax
51014,0.5879629629629824,1.0008334655669056,P. vivax
51015,0.1990740740740941,0.3469139763846298,P. vivax
51016,0.17592592592593273,0.520504969736786,P. vivax
51017,6.000000000000084,16.265858497468148,P. vivax
51018,0.6203703703703853,0.7153281707428811,P. vivax
51019,0.486111111111118,0.5371694770961187,P. vivax
51020,0.08333333333333982,0.1786274176811839,P. vivax
51021,1.231481481481496,1.9546516096724835,P. vivax
51022,0.01851851851851808,0.01824741922054959,P. vivax
11001,629.2731481481487,136944.1913555467,P. falciparum
11002,26.953703703704186,466.85896621776897,P. falciparum
11003,228.18518518518593,33627.8339830975,P. falciparum
11004,50.83333333333422,1741.8078208908903,P. falciparum
11005,5.337962962963151,20.742728432355037,P. falciparum
11006,14.097222222222474,239.13793370735922,P. falciparum
11007,4.407407407407036,23.349942851484514,P. falciparum
11008,4.444444444444188,109.12441525840062,P. falciparum
