especie,covariavel,rate_ratio,ci_low,ci_high,p_valor,deviance_explicada_pct
P. vivax,n_tp_32,0.9773138029569112,0.9766474202127772,0.9779806403850515,0,0.19846752691788894
P. vivax,n_tp_15,1.047050808035255,1.04553798028285,1.0485658247543466,0,0.17259296838771754
P. vivax,n_tp_73,0.8488982284694984,0.8480804664559629,0.8497167790104639,0,5.506083631575575
P. vivax,n_tp_20,1.0306590468641024,1.0301061525895803,1.0312122378964663,0,0.5349085033669351
P. vivax,n_tp_72,1.1289574301890424,1.1280534367783175,1.1298621480371567,0,3.3738045291182903
P. vivax,n_tp_68,0.7155672469821069,0.7139718567180752,0.7171662021907099,0,4.204133497572867
P. vivax,n_tp_36,0.6443098843588876,0.6426030729908896,0.6460212291708859,0,4.912589031157693
P. vivax,n_tp_39,0.5147725255195107,0.512500361394003,0.5170547632570627,0,4.075891683419412
P. vivax,n_tp_05,0.7513637611495005,0.7491018224241713,0.7536325298766319,0,1.5509180737290187
P. vivax,n_tp_74,1.0801698638461261,1.078084946853359,1.0822588128763309,0,0.26673137552769
P. vivax,n_tp_02,0.7543262227179609,0.7512726353229642,0.7573922215805667,0,0.8158942377218582
P. vivax,n_tp_01,1.1548387047429596,1.1517408370044697,1.157944904898098,0,0.485467956055538
P. vivax,n_tp_22,0.6796424379826874,0.6783130912999361,0.6809743898968954,0,6.823666758723691
P. vivax,n_tp_81,0.5789325812760456,0.5772848776881366,0.5805849877883141,0,7.351093509908973
P. vivax,n_tp_43,0.8453157268377312,0.8438050074260989,0.8468291509893455,0,2.3661718311830637
P. vivax,n_estabelecimentos,0.6088922538618557,0.6073688503750173,0.6104194783516684,0,6.919023927343065
P. vivax,n_tp_75,1.0042103743656414,1.0031626722220444,1.0052591707283638,3.0486600222642794e-15,0.0027435668305635977
P. falciparum,n_tp_32,0.9605852359591147,0.9586110529497838,0.962563484640902,0,0.2484971689691513
P. falciparum,n_tp_15,1.2364800693603408,1.2319718206233086,1.241004815476887,0,2.165766524296126
P. falciparum,n_tp_73,0.5983855514121879,0.5952758469846656,0.6015115008489366,0,11.502046302741833
P. falciparum,n_tp_20,1.0131789114587544,1.0118438004709467,1.014515784103202,2.3540350856978825e-84,0.05989213252196655
P. falciparum,n_tp_72,1.228565497187035,1.2261037556744516,1.231032181324781,0,5.36576171181499
P. falciparum,n_tp_68,0.589054522229596,0.585264212279298,0.5928693791267565,0,4.793798948178728
P. falciparum,n_tp_36,0.4558581475065999,0.4525358137485955,0.459204872486833,0,8.152144838061332
P. falciparum,n_tp_39,0.2853933245161009,0.2816178364430776,0.28921942838239056,0,6.350053007769455
P. falciparum,n_tp_05,0.5819808718873336,0.5774480188719929,0.5865493069044946,0,3.0291452376621653
P. falciparum,n_tp_74,1.2519535765821692,1.2459984487921636,1.257937166323335,0,1.2985689528896711
P. falciparum,n_tp_02,0.5565405612740697,0.5507533720784914,0.5623885609167252,0,1.9157136857085673
P. falciparum,n_tp_01,1.2234119218811885,1.2162979374051017,1.2305675152210003,0,0.7256981299103359
P. falciparum,n_tp_22,0.5077287399830128,0.5048677509465908,0.5106059416974107,0,10.587719504346309
P. falciparum,n_tp_81,0.32764554318495553,0.32414708228733563,0.3311817623389997,0,9.12499102708728
P. falciparum,n_tp_43,0.7864829011964817,0.7812927983945979,0.7917074816834915,0,1.4846662769355867
P. falciparum,n_estabelecimentos,0.4266825978220308,0.42359702288561224,0.4297906487726181,0,10.108314792250244
P. falciparum,n_tp_75,0.9551090712057866,0.9521306442305454,0.9580968152083713,1.1243895063388623e-182,0.13426708941293528
