especie,covariavel,Raw,Trend,Seasonal,Remainder
P. falciparum,defor_lag2,0.5327640612339594,0.7541225636575957,NA,0.02252890973270245
P. falciparum,precip_mm,-0.028261616668925058,0.005174326956382217,-0.24028994017344749,6.362667697233815e-4
P. falciparum,rhum,0.00564761472040957,0.05974665618770557,-0.22465488579809428,0.0033475165857421198
P. falciparum,temp,-0.02681359141583863,-0.2107318579604441,0.1556071445917457,0.02519087276953254
P. vivax,defor_lag2,0.5190340591721024,0.7320417556718758,NA,0.019414093599930512
P. vivax,precip_mm,-0.0402830132237937,0.032710170400762226,-0.333596980364991,-0.005535858827964911
P. vivax,rhum,-0.021381589283941863,0.08179414926794591,-0.2872522679109805,-9.763637560542862e-5
P. vivax,temp,-0.043083165970997234,-0.26853347112340914,0.05981682262297817,0.002844246625254411
