especie,covariavel,rate_ratio,ci_low,ci_high,p_valor
P. vivax,defor_lag2,0.9937241748040327,0.9923229130213516,0.9951274153121448,2.2438522165261087e-18
P. vivax,precip_mm,0.9990741635758887,0.9973571533990583,1.0007941296887521,0.29122266322864976
P. vivax,temp,1.2328066509751023,1.2291704601710323,1.2364535985326026,0
P. vivax,rhum,1.132697369679685,1.129605528223305,1.1357976738102928,0
P. falciparum,defor_lag2,1.1003415099442273,1.0968175795207293,1.103876762292047,0
P. falciparum,precip_mm,0.9988933079461446,0.9950945188961068,1.002706598933408,0.5689560289196487
P. falciparum,temp,1.2935610566728737,1.2852641889925618,1.3019114837800285,0
P. falciparum,rhum,1.2061373165946494,1.1990318585279656,1.2132848815778245,0
