covariavel,especie,raw_mediana,trend_mediana,seasonal_mediana,remainder_mediana,n_micro,cor_transversal
n_tp_32,P. vivax,-0.18822642423758468,-0.21225969922884946,NA,0.02718081218194284,30,0.5968109048441341
n_tp_32,P. falciparum,-0.2372294701550018,-0.2569163508120189,NA,0.03909878949781515,30,0.5740198235107044
n_tp_15,P. falciparum,0.22576476581059104,0.379104722151997,NA,-0.0029676067255598884,81,0.4497732765335166
n_tp_15,P. vivax,0.1714472184098489,0.2607186080467353,NA,0.0049482432618103275,81,0.4472701648152183
n_tp_73,P. vivax,-0.3369623151168181,-0.47782276516959477,NA,0.002723559374808942,66,-0.3827986948950105
n_tp_20,P. falciparum,-0.020442032478596227,-0.030303888660187912,NA,-6.743098122436463e-4,36,-0.36070532241821474
n_tp_73,P. falciparum,-0.30898362834018406,-0.4989661914582741,NA,0.007843975621033493,66,-0.35965350160316795
n_tp_20,P. vivax,0.14952640165197856,0.09825019788440084,NA,-0.009019069642644194,36,-0.3548572327331961
n_tp_72,P. vivax,-0.3863342936049152,-0.516271888727996,NA,0.022809503281016344,70,0.34383030157039535
n_tp_72,P. falciparum,-0.3809086738975238,-0.5153048776883902,NA,0.015832727098825057,70,0.3370261398490791
n_tp_68,P. vivax,-0.4986250488208587,-0.6834542054386878,NA,0.001705142216201233,107,-0.3318759557423221
n_tp_68,P. falciparum,-0.4850993908539365,-0.6748831019073596,NA,0.0063135270653673185,107,-0.3316114229717185
n_tp_36,P. vivax,-0.4334117359495585,-0.5970359116884291,NA,0.004126539564195347,103,-0.3149902524524031
n_tp_39,P. vivax,-0.41680307960937085,-0.5509822960243604,NA,0.019615514046678027,104,-0.3013201405339275
n_tp_05,P. vivax,-0.14888479469901583,-0.2232192494692112,NA,-7.14427594189871e-7,99,-0.28676964327491966
n_tp_74,P. falciparum,-0.30207682441470146,-0.43536252634097333,NA,0.012426103004918587,92,-0.28653212238161113
n_tp_02,P. falciparum,-0.41309666419334945,-0.5621069510982851,NA,0.017521555140200176,107,-0.2858339435982008
n_tp_02,P. vivax,-0.41685550377853003,-0.5442728680957818,NA,-0.0024489938698420283,107,-0.2841146490476479
n_tp_36,P. falciparum,-0.44514380395353714,-0.573671494177707,NA,0.001202589558837649,103,-0.2809117007867
n_tp_74,P. vivax,-0.325803123095062,-0.4320534612663948,NA,0.004497825215980487,92,-0.27591327882712074
n_tp_01,P. vivax,0.31858737595106884,0.4383827827912538,NA,-0.008129044027167099,107,0.26446572457518897
n_tp_39,P. falciparum,-0.3849670259577294,-0.5403612283907117,NA,-0.001536841941456631,104,-0.2561218745298869
n_tp_22,P. vivax,-0.35261815617842923,-0.5614253587839885,NA,0.00241358051010491,98,-0.2519490782836985
n_tp_05,P. falciparum,-0.15862630923674248,-0.23067547686234774,NA,-0.006009261189315959,99,-0.2490239037308072
n_tp_01,P. falciparum,0.22308527575436987,0.4043336086263071,NA,-0.018429398146382555,107,0.23828463667597455
n_tp_22,P. falciparum,-0.36539434744450783,-0.5481152099088026,NA,0.008219917878080607,98,-0.23738076083898407
n_tp_81,P. falciparum,-0.3029486126385781,-0.4621277492152538,NA,0.0070969749309248206,75,-0.21011054579868157
n_tp_43,P. vivax,-0.3624214905272378,-0.5076720461864858,NA,0.005048299559035225,94,-0.2078563884140078
n_estabelecimentos,P. vivax,-0.4652064778881144,-0.63140740116503,NA,0.025954229289361475,107,-0.2018270431803987
n_tp_75,P. vivax,-0.40571691612444977,-0.5199251561624484,NA,-0.0049402672039038555,23,0.20021830505607752
n_tp_71,P. falciparum,-0.2827853237720177,-0.4987912935355847,NA,-8.87730194692052e-5,69,-0.19980915574250763
n_estabelecimentos,P. falciparum,-0.4628231966046932,-0.6407107420164952,NA,0.007147347217932509,107,-0.19779089417591736
n_tp_43,P. falciparum,-0.2596474799063583,-0.43262847242910735,NA,0.010059526422825923,94,-0.19579395115289766
n_tp_71,P. vivax,-0.37624817072164046,-0.5246765854476954,NA,0.006877881579840604,69,-0.19158758825329086
n_tp_75,P. falciparum,-0.35854312184422105,-0.476411093486038,NA,0.017436493137904997,23,0.18756913415903292
n_tp_69,P. falciparum,-0.3309185453536212,-0.5937328164245719,NA,0.009439940046940336,46,-0.18608174479385248
n_atendamb,P. vivax,-0.43540428740732834,-0.6207356349167945,NA,0.022370374169227162,107,-0.18545621975352183
n_atendamb,P. falciparum,-0.4589427401425385,-0.6394994816061246,NA,0.007613693601383674,107,-0.18348713728717259
n_tp_77,P. vivax,-0.33754301932444314,-0.4451353878569318,NA,0.0033543093159871837,27,-0.1821813240925296
n_tp_77,P. falciparum,-0.2531399983158907,-0.3739923243568283,NA,0.026618435086713018,27,-0.1797799772535007
n_tp_21,P. vivax,-0.10138554569887717,-0.13151465923256167,NA,0.009411905534468313,14,-0.15436433749469586
n_tp_69,P. vivax,-0.39872602009059177,-0.5670770620588406,NA,0.002208004176718421,46,-0.15253598992555892
n_tp_81,P. vivax,-0.3607440354473041,-0.5144285222315661,NA,0.007509992524215842,75,-0.15092958254540478
n_vinc_sus,P. falciparum,-0.39786372842634765,-0.5874880175182364,NA,0.0029826781636638463,107,-0.14325390022458842
n_vinc_sus,P. vivax,-0.42668721054289643,-0.591701341980823,NA,0.001688297223327984,107,-0.14079008596578488
n_atendhos,P. vivax,0.05638673893132623,0.12759435625763674,NA,0.008272054381625095,92,-0.13874403948335268
n_tp_61,P. falciparum,-0.26972987209429483,-0.3834017663305384,NA,0.012864281240823823,9,0.1272284464468475
n_atendhos,P. falciparum,0.023267654608962764,0.013560163999654002,NA,0.0011154875036700582,92,-0.12611045978390112
n_tp_21,P. falciparum,-0.08340166618982975,-0.11626264831413813,NA,-0.0015177452862033798,14,-0.12485731895588197
n_tp_82,P. vivax,-0.1845426658140022,-0.27613185014628905,NA,-7.379371961178823e-18,26,-0.12056076644397794
n_tp_67,P. vivax,-0.11847715388206859,-0.16254932997444563,NA,-0.004198859911061913,22,0.11678066837521539
n_tp_61,P. vivax,-0.229563531427638,-0.2334973853671473,NA,0.01433733607991223,9,0.11482410539120427
n_tp_67,P. falciparum,-0.11952088532718225,-0.13230759823810145,NA,-0.020930434581636684,22,0.11399902014127057
n_tp_85,P. falciparum,-0.1398032494714445,-0.14483089445075786,NA,0.023523495326920718,28,-0.10970298984067225
n_tp_85,P. vivax,-0.1861806970907273,-0.18983757200976403,NA,-0.01664485402992806,28,-0.10599736510431083
n_tp_50,P. falciparum,-0.23244739553702212,-0.3855545118815928,NA,0.010473826132831838,105,0.09490148857788358
n_tp_70,P. falciparum,-0.4972335053588709,-0.7031414851450276,NA,-0.001804784837989281,96,-0.08762063441989766
n_tp_70,P. vivax,-0.4722186594041061,-0.7037415422328314,NA,-0.011438763051320184,96,-0.08109444167155498
n_tp_82,P. falciparum,-0.15704939215417513,-0.2640952023590308,NA,4.369920214349542e-4,26,-0.07968111609079727
n_tp_04,P. falciparum,-0.2173961792865316,-0.39816001615736013,NA,-0.0018923465010123658,79,-0.07432038387337145
n_urgemerg,P. vivax,-0.2628202475203658,-0.40959320076990746,NA,0.006911423202606301,107,-0.07343547946078255
n_tp_04,P. vivax,-0.2306092579898601,-0.3486813081836056,NA,0.00899016701885774,79,-0.07006123709850463
n_urgemerg,P. falciparum,-0.25240584193349824,-0.4466033166748208,NA,3.327123275911036e-4,107,-0.06648967437304311
n_tp_42,P. vivax,-0.4246213728185456,-0.5879048686133641,NA,0.011477343045245425,75,-0.06437328082950197
n_tp_64,P. vivax,-0.0367802280785024,-0.012179624336932317,NA,-0.005446667665957408,62,0.06392547082601495
n_tp_78,P. vivax,-0.09931653023090106,-0.17551696283252366,NA,0.007363518986199812,1,-0.06289308176100629
n_tp_50,P. vivax,-0.17085066354793466,-0.2878560296621259,NA,0.004004135995590035,105,0.0575248118706492
n_tp_64,P. falciparum,-0.05314044085156869,-0.11116838257420678,NA,-0.008185266447379373,62,0.055696582305050965
n_tp_80,P. falciparum,-0.26297488916852985,-0.40218017205625745,NA,0.017551780929478872,73,-0.05120439256708929
