especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,poisson,glm_sem_covariaveis,109,111,11556,321,NA,NA,5.050802525824191,0.09337550764839482,0.46604886703965337,1.0558481663493904,0.4167319975597063,0.7682933110188848,0.4205607476635514,27.777870328761438,0.7059078216552734
P. vivax,poisson,glm_sem_covariaveis,112,114,11877,321,NA,NA,6.90099894826593,0.09241259617871733,0.555710347300085,1.1265375090743261,0.6580875985120315,0.6085873455474556,0.3644859813084112,29.049408617649107,0.6191589832305908
P. vivax,poisson,glm_sem_covariaveis,115,117,12198,321,NA,NA,41.30106067030577,0.10639450654271944,0.5812801896154772,1.1683800982327464,0.6289298838684562,0.7338100513211347,0.3302180685358255,31.605919543812945,0.6118090152740479
P. vivax,poisson,glm_sem_covariaveis,118,120,12519,321,NA,NA,22.094465003684146,0.0590932574831498,0.47172541184996386,1.1366331226489657,0.2647543441579072,0.862283069088185,0.3707165109034268,26.997167481526944,0.6626377105712891
P. vivax,poisson,glm_sem_covariaveis,121,123,12840,321,NA,NA,16.624587802449195,0.07216891823257789,0.4834375407961261,1.1098048507425027,0.28572836976827237,0.848879660029307,0.4236760124610592,24.200889542914,0.6420333385467529
P. vivax,poisson,glm_sem_covariaveis,124,126,13161,321,NA,NA,6.469380988880643,0.094731681092163,0.5324505794561774,1.286588613909003,0.612489831709876,0.6230635076472014,0.3956386292834891,24.043415709393607,0.6887953281402588
P. vivax,poisson,glm_sem_covariaveis,127,129,13482,321,NA,NA,12.667665162960665,0.0873558171434533,0.5551666368554269,1.338608191146013,0.5340671108608771,0.6952227273060757,0.35514018691588783,26.121988048707188,0.6658473014831543
P. vivax,poisson,glm_sem_covariaveis,130,132,13803,321,NA,NA,1.9958545857424652,0.07070673296781808,0.4806306153227531,1.344315441855956,0.33673718352388876,0.821786522814726,0.40498442367601245,22.106840981164225,0.7292051315307617
P. vivax,poisson,glm_sem_covariaveis,133,135,14124,321,NA,NA,1.3414666780688604,0.05717927112420926,0.46966686707874183,1.2346520722766514,0.3401979653895194,0.8269863585428272,0.42990654205607476,19.782613287862016,0.714594841003418
P. vivax,poisson,glm_sem_covariaveis,136,138,14445,321,NA,NA,8.739193801629495,0.10027266523535365,0.5354094973764337,1.3147549785113462,0.5170755727223354,0.7105990008632289,0.470404984423676,19.867620561684582,0.777432918548584
P. vivax,poisson,glm_sem_covariaveis,139,141,14766,321,NA,NA,13.261332739493621,0.08664887883724193,0.4839281769398964,1.3079068353576224,0.5416064144431993,0.6891496170544343,0.4423676012461059,21.713956376969364,0.7458124160766602
P. vivax,poisson,glm_sem_covariaveis,142,144,15087,321,NA,NA,12.91930543735329,0.08622999132536274,0.4556298519951807,1.2412777632186576,0.3435337557575287,0.8620301088293777,0.4672897196261682,19.008435755069414,0.784066915512085
P. vivax,poisson,glm_sem_covariaveis,145,147,15408,321,NA,NA,15.007267764702465,0.08820660938351575,0.46205300432040647,1.1404105848370285,0.4168374211127588,0.8324059420704378,0.4797507788161994,16.530793735399122,0.76850128173828125
