especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,poisson,model5,109,120,11556,1284,30388.8203041699,572214.1300880203,23.945099401480142,0.06154551644962341,0.3675547993589274,0.678253956457133,0.3848221277735816,0.7934647121122476,0.911214953271028,409.81301083325735,11.863755702972412
P. vivax,poisson,model5,121,132,12840,1284,13911.850434872496,646947.8880340133,14.736565475187176,0.04950638902795254,0.32149364350025644,0.7838817320399154,0.23442799201685033,0.9004616691108756,0.8785046728971962,341.53911691334764,6.5496604442596436
P. vivax,poisson,model5,133,144,14124,1284,24808.132813293836,698546.7165164945,16.40685767693157,0.0432881549991507,0.2317586289570239,0.5476698382595184,0.18871599211379445,0.9254285673517354,0.9353582554517134,301.74679647453667,8.448763370513916
P. vivax,poisson,model5,145,156,15408,1284,35125.26901233423,744875.2711456515,30.39586395921326,0.0591098322047402,0.2860310229393954,0.4924900494367231,0.2765392598320516,0.9252581876053222,0.9595015576323987,278.30221224448917,8.379964351654053
P. vivax,poisson,model5,157,168,16692,1284,41434.45874566835,787414.0061851011,13.92515084164154,0.06316211635701413,0.392559707249614,0.6203168936135445,0.4022445127456785,0.7791630517844482,0.9384735202492211,316.88528501982483,7.958547592163086
P. vivax,poisson,model5,169,180,17976,1284,44245.86001845432,857848.3997079176,66.23751215931482,0.07773806781243767,0.3979532660306862,0.8114691451614554,0.4050769838925642,0.9302735147969544,0.9197819314641744,255.62438127260032,10.168073892593384
P. vivax,poisson,model5,181,192,19260,1284,40602.903330930334,940466.5012821862,28.79606027811439,0.04831378229905767,0.27822551915797655,0.5796052787862254,0.2178725150306441,0.8947544173350657,0.9532710280373832,442.13051670949216,9.521368026733398
P. vivax,poisson,model5,193,204,20544,1284,38891.59031966858,1008526.5119008286,20.91543024228175,0.0496960223688384,0.2587760922336495,0.5758731499157581,0.19262870503707677,0.9170366204835172,0.9548286604361372,353.6931544904352,8.373684883117676
P. vivax,poisson,model5,205,216,21828,1284,48703.316630696936,1059028.9581287217,20.741271426454816,0.04412604431699288,0.29238870751452295,0.6194776018113615,0.24125793729367587,0.9115364796619548,0.9384735202492211,291.2751193001672,8.484007835388184
P. falciparum,poisson,model5,109,120,11556,1284,56136.945221100585,260784.92741201585,5.788082235080828,0.0499235682523518,0.3694029725167362,0.6306452041351986,0.3700933900898151,0.8445698238837046,0.9439252336448598,104.63494016982044,16.3740656375885
P. falciparum,poisson,model5,121,132,12840,1284,61659.02748052383,290184.62749746966,7.885892920000053,0.05550623519027207,0.4236058323472347,0.7486933036491195,0.4720246352873217,0.8161099557763204,0.8948598130841121,84.38951535774477,9.192241430282593
P. falciparum,poisson,model5,133,144,14124,1284,67664.02025738193,302499.7533522379,3.5716208680451724,0.046904971692958215,0.39435983824614934,0.5611302840161311,0.4065313081036696,0.7959565506758914,0.9665109034267912,84.4092057075182,6.779960632324219
P. falciparum,poisson,model5,145,156,15408,1284,72107.65973663775,314869.8606239611,2.0805603830576294,0.03302773124523125,0.2537598664823081,0.43812609025362437,0.14020900197349515,0.9425207219794239,0.985981308411215,62.33714201594848,7.7388482093811035
P. falciparum,poisson,model5,157,168,16692,1284,76239.15924134903,322070.460571549,2.38225491256089,0.03590025916164741,0.39322759834354254,0.5305560991442143,0.33828279424601887,0.8980443908296097,0.9727414330218068,50.6171872791386,10.169249057769775
P. falciparum,poisson,model5,169,180,17976,1284,80089.35775675578,333367.56015635893,6.9220614673276115,0.06851774013443106,0.41718277910286805,0.5067016639444469,0.5910422694619899,0.8650645829860294,0.9797507788161994,37.43986996141001,7.237611532211304
P. falciparum,poisson,model5,181,192,19260,1284,84474.18582155264,341742.70488029544,4.49081289834019,0.05742598031133908,0.32256143150758415,0.5009356812632582,0.3492479323138897,0.8982921722418162,0.9742990654205608,53.15900517181071,7.6637282371521
P. falciparum,poisson,model5,193,204,20544,1284,88830.28746578604,358650.1629154387,3.722048370249176,0.04483301054638446,0.33417333238395486,0.6245661749031696,0.2888495294081538,0.9218067005974984,0.9478193146417445,39.71388205877931,9.119731664657593
P. falciparum,poisson,model5,205,216,21828,1284,93627.56181334547,363332.27966545837,6.425115793602343,0.06227947930669144,0.401515421062154,0.6310087914976279,0.40436409400742107,0.9049655020234689,0.9579439252336449,35.622479004044436,10.118100643157959
