baseline,especie,dic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
glm_sem_covariaveis,P. falciparum,NA,2.2973220604328795,0.08155431412103031,0.6648576491175072,1.1915862122351122,0.6358900229689316,0.643698825634353,0.6028037383177569,7.200061602007009,0.8353316783905029
glm_sem_covariaveis,P. vivax,NA,13.870119617734694,0.09216323824517136,0.4707297924125887,1.2185107825163883,0.4922933954390114,0.7764338833350781,0.43302180685358255,20.691362387508885,0.9831802845001222
model0_intercept,P. falciparum,1000255.05506268,16.973205475353183,0.11006375374320301,1.751070780898996,3.011297055025188,1.1105445659076434,0.08673553303744096,0.1261682242990654,32.6120316004017,0.9194685220718384
model0_intercept,P. vivax,2509752.9600806665,28.21072235332888,0.13190227692792156,1.1299328468491563,3.55322161441803,1.0130242850455873,0.0693396761886543,0.07009345794392523,74.42265694730658,2.1249979734420776
model1_iid_ar1_ano,P. falciparum,100797.14953587094,2.092446403347571,0.04096659508237765,0.2612283213336853,0.47355558015313337,0.1612498374043188,0.9446069752272452,0.9330218068535826,11.038148837242211,2.0053443908691406
model1_iid_ar1_ano,P. vivax,168591.48726621084,13.773611679770536,0.064827384381279,0.2676293122729283,0.4983363965276088,0.21752981194295062,0.9073285109000744,0.82398753894081,48.02649649241498,3.033673882484436
model2_bym2_ar1_ano,P. falciparum,100803.29892635408,2.2844465169216175,0.041141914075604115,0.27076232754646834,0.4733679595406354,0.1704771026814076,0.9444800628545822,0.9330218068535826,11.093959000919234,8.391969680786133
model2_bym2_ar1_ano,P. vivax,168595.2331478884,16.593207058898237,0.06500871639466921,0.2791806867523867,0.5030530804648914,0.23083543348332664,0.9072030158098368,0.822429906542056,48.096285561986406,9.17117166519165
model3_separated_iid,P. falciparum,89430.67943035818,2.0865740480171433,0.039594476827913554,0.2387258768561093,0.446636313952757,0.12370927211061897,0.954412185727202,0.9485981308411215,11.473160987186034,8.732630848884583
model3_separated_iid,P. vivax,136666.23777200712,11.281404155646232,0.051378490200627236,0.2241595837385435,0.48183407667511546,0.14033899313941955,0.9407273765698435,0.8442367601246106,51.99500684108583,8.142001509666443
model4_covariates,P. falciparum,89207.55836909244,1.9720529970403344,0.039658960707679144,0.24042926175500762,0.44994227478958126,0.1356215398096139,0.9518301593608782,0.942367601246106,11.360837377725751,9.700809359550476
model4_covariates,P. vivax,136221.5481135794,10.697651856396945,0.05126655320891814,0.22261678867846146,0.48088114504341484,0.13844032537625423,0.9412073768443622,0.8489096573208723,52.62960274832355,8.6886887550354
model5_defor_ns,P. falciparum,89210.61207870714,1.9756082079998047,0.039672661912387094,0.24045871779268846,0.449950239281181,0.13540224935450187,0.9560743122139073,0.942367601246106,11.48901195957982,9.736514210700989
model5_defor_ns,P. vivax,136225.5982591419,11.566826932636403,0.05097073232677909,0.22281517935678688,0.48096305761497804,0.13836982175789175,0.9414412234872028,0.8504672897196262,52.23669429238918,9.436689257621765
model6_cnes,P. falciparum,89210.5577531383,1.9985863298754287,0.0395884506407599,0.24042297136944876,0.45060667475527383,0.13527495641359608,0.955421258071169,0.9392523364485981,11.497385188157915,10.632751703262327
model6_cnes,P. vivax,136224.7906153382,11.544724118210148,0.05096841566788922,0.22285641735068812,0.48566591057159936,0.13833942915897457,0.9415007760314285,0.8504672897196262,52.52401916214315,9.161223411560059
paper_best_replica,P. falciparum,163301.11998729958,2.9954726704297974,0.08338530384460095,0.5849326980361866,1.0668149293305054,0.6735376995285551,0.6448661650677944,0.8146417445482865,12.74380267000545,9.943279266357422
paper_best_replica,P. vivax,124433.0310601316,65.57155129081585,0.11600414614841022,0.5250805181218259,0.955268529854513,0.7981145209738617,0.8003752984740178,0.9283489096573209,210.13307640612584,14.536715269088745
