especie,familia,modelo,codMicroRes,nomeMicroRes,siglaUF,ano,mes,idMes,populacao,real_taxa,pred_taxa,residual,ci_low,ci_high,covered,test_start
P. vivax,nbinomial,model6,11001,Porto Velho,RO,2012,1,109,559543,340.992559999857,303.15183511683324,37.84072488302377,97.14177462679365,1703.3096652089266,TRUE,109
P. vivax,nbinomial,model6,11001,Porto Velho,RO,2012,2,110,559543,263.2505455344808,243.5953948213116,19.655150713169206,85.61897834482784,1125.0073720875782,TRUE,109
P. vivax,nbinomial,model6,11001,Porto Velho,RO,2012,3,111,559543,284.1604666665475,267.93581992545154,16.224646741095967,77.96541105866754,1629.655808400782,TRUE,109
P. vivax,nbinomial,model6,11001,Porto Velho,RO,2012,4,112,559543,307.75114691810995,275.51574509860836,32.23540181950159,80.15022974105653,1614.5050514437671,TRUE,109
P. vivax,nbinomial,model6,11001,Porto Velho,RO,2012,5,113,559543,312.7552306078353,318.3756840407762,-5.620453432940906,96.47605277878556,1946.8030160327257,TRUE,109
P. vivax,nbinomial,model6,11001,Porto Velho,RO,2012,6,114,559543,337.239497232563,356.127032370372,-18.88753513780898,118.10531094125025,2169.37750986072,TRUE,109
P. vivax,nbinomial,model6,11001,Porto Velho,RO,2012,7,115,559543,426.7768518237204,378.24037801880013,48.53647380492026,111.08618998003729,1992.9165408199187,TRUE,109
P. vivax,nbinomial,model6,11001,Porto Velho,RO,2012,8,116,559543,439.2870610480338,360.155287773419,79.13177327461483,91.84727536578959,2332.4927664183047,TRUE,109
P. vivax,nbinomial,model6,11001,Porto Velho,RO,2012,9,117,559543,419.6281608383985,321.1970692517303,98.43109158666823,85.29281931862252,1709.5513660254883,TRUE,109
P. vivax,nbinomial,model6,11001,Porto Velho,RO,2012,10,118,559543,440.1806474211991,334.2478581151604,105.93278930603873,85.6636576634861,1889.1622270317016,TRUE,109
P. vivax,nbinomial,model6,11001,Porto Velho,RO,2012,11,119,559543,426.95556909835346,337.5880037400457,89.36756535830779,95.99798406914215,1877.20604135875,TRUE,109
P. vivax,nbinomial,model6,11001,Porto Velho,RO,2012,12,120,559543,331.5205444443054,288.8456019973461,42.674942446959335,75.37401057648833,1503.1373817561823,TRUE,109
P. vivax,nbinomial,model6,11002,Guajará-Mirim,RO,2012,1,109,73193,91.53880835599033,122.34176394820601,-30.80295559221568,35.52252264560819,750.6182285191202,TRUE,109
P. vivax,nbinomial,model6,11002,Guajará-Mirim,RO,2012,2,110,73193,94.27131009796018,100.7823425941293,-6.511032496169122,31.423770032653394,515.7938600685858,TRUE,109
P. vivax,nbinomial,model6,11002,Guajará-Mirim,RO,2012,3,111,73193,94.27131009796018,114.90157608833518,-20.630265990374994,34.08795923107402,700.6476029128464,TRUE,109
P. vivax,nbinomial,model6,11002,Guajará-Mirim,RO,2012,4,112,73193,120.23007664667387,118.85700197678142,1.3730746698924463,38.25502438757805,718.3063954203261,TRUE,109
P. vivax,nbinomial,model6,11002,Guajará-Mirim,RO,2012,5,113,73193,178.97886409902586,123.19777568009826,55.781088418927595,41.499870206167266,706.590794201628,TRUE,109
P. vivax,nbinomial,model6,11002,Guajará-Mirim,RO,2012,6,114,73193,147.55509406637245,115.44664259564294,32.108451470729506,27.325017419698604,632.9157159837687,TRUE,109
P. vivax,nbinomial,model6,11002,Guajará-Mirim,RO,2012,7,115,73193,155.75259929228204,114.50740048057565,41.24519881170639,33.43899006735617,581.3739018758624,TRUE,109
P. vivax,nbinomial,model6,11002,Guajará-Mirim,RO,2012,8,116,73193,143.45634145341768,121.49239499641324,21.96394645700444,36.82046097304388,639.5420327080458,TRUE,109
P. vivax,nbinomial,model6,11002,Guajará-Mirim,RO,2012,9,117,73193,97.00381183993005,122.74878680460111,-25.74497496467106,38.18671184402881,646.3732870629703,TRUE,109
P. vivax,nbinomial,model6,11002,Guajará-Mirim,RO,2012,10,118,73193,142.09009058243277,129.88173971247542,12.208350869957343,45.73524790622054,630.9688084926149,TRUE,109
P. vivax,nbinomial,model6,11002,Guajará-Mirim,RO,2012,11,119,73193,98.370062710915,122.35069216989365,-23.980629458978655,31.423770032653394,591.2792206905028,TRUE,109
P. vivax,nbinomial,model6,11002,Guajará-Mirim,RO,2012,12,120,73193,99.7363135818999,107.97900005078439,-8.242686468884486,33.30236498025768,513.0272020548407,TRUE,109
P. vivax,nbinomial,model6,11003,Ariquemes,RO,2012,1,109,176003,136.3613120230905,182.9915985844642,-46.63028656137371,57.89674039647052,955.4808724851255,TRUE,109
P. vivax,nbinomial,model6,11003,Ariquemes,RO,2012,2,110,176003,110.79356601876106,145.17118674845347,-34.37762072969241,47.72645920808168,817.8269688584835,TRUE,109
P. vivax,nbinomial,model6,11003,Ariquemes,RO,2012,3,111,176003,111.92991028562012,156.16111779482,-44.231207509199876,47.42816883803117,825.8666045465127,TRUE,109
P. vivax,nbinomial,model6,11003,Ariquemes,RO,2012,4,112,176003,116.47528735305647,149.14662620838084,-32.671338855324365,47.99634097146071,707.104424356403,TRUE,109
P. vivax,nbinomial,model6,11003,Ariquemes,RO,2012,5,113,176003,135.79313988966098,168.75724571337682,-32.96410582371584,53.10989017232661,848.6645114003737,TRUE,109
P. vivax,nbinomial,model6,11003,Ariquemes,RO,2012,6,114,176003,164.20174656113818,198.94057866060274,-34.73883209946456,70.8794736453356,1045.4793384203676,TRUE,109
P. vivax,nbinomial,model6,11003,Ariquemes,RO,2012,7,115,176003,155.11099242626545,225.72505044874273,-70.61405802247728,82.27132492059795,1173.204434015329,TRUE,109
P. vivax,nbinomial,model6,11003,Ariquemes,RO,2012,8,116,176003,189.76949256546763,232.84588516474125,-43.07639259927362,90.90754134872701,1128.6597387544525,TRUE,109
