codMunRes6,codMunRes,idMes,numCasos,edad,delay,para,agriPecu,dom,turViaj,gariMine,roadHuntwood,impo,male,populacao,ano,nomeMunRes,codMicroRes,nomeMicroRes,codUF,siglaUF,mes,Y,rhum,temp
140017,1400175,3,1,41,5,3,1,0,0,0,0,0,0,9511,2003,Cantá,14002,Nordeste de Roraima,14,RR,3,1,84.95967741935483,297.80451612903227
140020,1400209,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15987,2003,Caracaraí,14003,Caracaraí,14,RR,3,0,84.95967741935483,297.80451612903227
140023,1400233,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5779,2003,Caroebe,14004,Sudeste de Roraima,14,RR,3,0,96.51612903225806,296.95129032258063
140028,1400282,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5411,2003,Iracema,14003,Caracaraí,14,RR,3,0,84.95967741935483,297.80451612903227
140030,1400308,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11445,2003,Mucajaí,14003,Caracaraí,14,RR,3,0,84.95967741935483,297.80451612903227
140040,1400407,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5743,2003,Normandia,14002,Nordeste de Roraima,14,RR,3,0,76.6774193548387,297.4325806451613
140045,1400456,3,1,23,6,4,0,0,1,0,0,0,1,7592,2003,Pacaraima,14001,Boa Vista,14,RR,3,1,76.6774193548387,297.4325806451613
140047,1400472,3,1,17,0,4,1,0,0,0,0,0,0,21944,2003,Rorainópolis,14004,Sudeste de Roraima,14,RR,3,1,96.51612903225806,296.95129032258063
140050,1400506,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5259,2003,São João da Baliza,14004,Sudeste de Roraima,14,RR,3,0,96.51612903225806,296.95129032258063
140060,1400605,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5891,2003,São Luiz,14004,Sudeste de Roraima,14,RR,3,0,96.51612903225806,296.95129032258063
140070,1400704,3,3,22,3.3333333333333335,2,0,0,0,0,0,1,0.3333333333333333,6111,2003,Uiramutã,14002,Nordeste de Roraima,14,RR,3,3,76.6774193548387,297.4325806451613
140005,1400050,4,1,10,0,5,0,0,0,0,0,1,1,19971,2003,Alto Alegre,14001,Boa Vista,14,RR,4,1,92.81666666666666,296.11
140002,1400027,4,8,13.375,1.75,2.5,0.125,0,0,0,0,0.375,0.375,5684,2003,Amajari,14001,Boa Vista,14,RR,4,8,92.81666666666666,296.11
140010,1400100,4,2,39,2.5,3.5,1,0,0,0,0,1,1,221127,2003,Boa Vista,14001,Boa Vista,14,RR,4,2,91.93333333333334,297.3763333333333
140015,1400159,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11949,2003,Bonfim,14002,Nordeste de Roraima,14,RR,4,0,91.93333333333334,297.3763333333333
140017,1400175,4,1,30,7,5,0,0,0,1,0,1,0,9511,2003,Cantá,14002,Nordeste de Roraima,14,RR,4,1,91.93333333333334,297.3763333333333
140020,1400209,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15987,2003,Caracaraí,14003,Caracaraí,14,RR,4,0,91.93333333333334,297.3763333333333
140023,1400233,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5779,2003,Caroebe,14004,Sudeste de Roraima,14,RR,4,0,97.6,296.8516666666667
140028,1400282,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5411,2003,Iracema,14003,Caracaraí,14,RR,4,0,91.93333333333334,297.3763333333333
140030,1400308,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11445,2003,Mucajaí,14003,Caracaraí,14,RR,4,0,91.93333333333334,297.3763333333333
140040,1400407,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5743,2003,Normandia,14002,Nordeste de Roraima,14,RR,4,0,83.55,297.1976666666667
140045,1400456,4,1,47,2,2,1,0,0,0,0,1,1,7592,2003,Pacaraima,14001,Boa Vista,14,RR,4,1,83.55,297.1976666666667
140047,1400472,4,10,26.5,1.6,3,0.9,0,0,0,0,0,0.8,21944,2003,Rorainópolis,14004,Sudeste de Roraima,14,RR,4,10,97.6,296.8516666666667
140050,1400506,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5259,2003,São João da Baliza,14004,Sudeste de Roraima,14,RR,4,0,97.6,296.8516666666667
140060,1400605,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5891,2003,São Luiz,14004,Sudeste de Roraima,14,RR,4,0,97.6,296.8516666666667
140070,1400704,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6111,2003,Uiramutã,14002,Nordeste de Roraima,14,RR,4,0,83.55,297.1976666666667
140005,1400050,5,2,43,0,2,0,0,0,0,0,0.5,0.5,19971,2003,Alto Alegre,14001,Boa Vista,14,RR,5,2,94.6774193548387,295.84322580645164
140002,1400027,5,24,21.791666666666668,0.9166666666666666,3.25,0.125,0.04166666666666666,0,0.04166666666666666,0.125,0,0.6666666666666666,5684,2003,Amajari,14001,Boa Vista,14,RR,5,24,94.6774193548387,295.84322580645164
140010,1400100,5,25,31.64,3.16,3.2,0.36,0.16,0,0,0,0.92,0.64,221127,2003,Boa Vista,14001,Boa Vista,14,RR,5,25,95.51612903225806,296.9135483870968
140015,1400159,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11949,2003,Bonfim,14002,Nordeste de Roraima,14,RR,5,0,95.51612903225806,296.9135483870968
140017,1400175,5,4,24,1.75,2.75,0.75,0,0,0,0.25,0,0.75,9511,2003,Cantá,14002,Nordeste de Roraima,14,RR,5,4,95.51612903225806,296.9135483870968
140020,1400209,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15987,2003,Caracaraí,14003,Caracaraí,14,RR,5,0,95.51612903225806,296.9135483870968
140023,1400233,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5779,2003,Caroebe,14004,Sudeste de Roraima,14,RR,5,0,97.46774193548389,296.8932258064516
140028,1400282,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5411,2003,Iracema,14003,Caracaraí,14,RR,5,0,95.51612903225806,296.9135483870968
140030,1400308,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11445,2003,Mucajaí,14003,Caracaraí,14,RR,5,0,95.51612903225806,296.9135483870968
140040,1400407,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5743,2003,Normandia,14002,Nordeste de Roraima,14,RR,5,0,96.41935483870968,295.7690322580645
140045,1400456,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7592,2003,Pacaraima,14001,Boa Vista,14,RR,5,0,96.41935483870968,295.7690322580645
140047,1400472,5,5,31.6,4.4,4.4,0.6,0,0,0,0,0,0.4,21944,2003,Rorainópolis,14004,Sudeste de Roraima,14,RR,5,5,97.46774193548389,296.8932258064516
140050,1400506,5,2,24.5,47.5,3,0,0,0,0.5,0,1,0.5,5259,2003,São João da Baliza,14004,Sudeste de Roraima,14,RR,5,2,97.46774193548389,296.8932258064516
140060,1400605,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5891,2003,São Luiz,14004,Sudeste de Roraima,14,RR,5,0,97.46774193548389,296.8932258064516
140070,1400704,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6111,2003,Uiramutã,14002,Nordeste de Roraima,14,RR,5,0,96.41935483870968,295.7690322580645
140005,1400050,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19971,2003,Alto Alegre,14001,Boa Vista,14,RR,6,0,94.54166666666669,295.7033333333333
140002,1400027,6,12,40.25,2.25,2.5,0.5,0.25,0,0.08333333333333333,0,0,0.6666666666666666,5684,2003,Amajari,14001,Boa Vista,14,RR,6,12,94.54166666666669,295.7033333333333
140010,1400100,6,38,33.13157894736842,4.394736842105263,3.3421052631578947,0.42105263157894735,0.10526315789473684,0.02631578947368421,0,0,1,0.7894736842105263,221127,2003,Boa Vista,14001,Boa Vista,14,RR,6,38,94.93333333333334,296.89866666666666
140015,1400159,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11949,2003,Bonfim,14002,Nordeste de Roraima,14,RR,6,0,94.93333333333334,296.89866666666666
140017,1400175,6,16,22.6875,2.4375,3.125,0.3125,0.125,0,0,0.25,0.125,0.5625,9511,2003,Cantá,14002,Nordeste de Roraima,14,RR,6,16,94.93333333333334,296.89866666666666
140020,1400209,6,8,11.875,0,4.375,0,0,0,0,0.125,0,0.5,15987,2003,Caracaraí,14003,Caracaraí,14,RR,6,8,94.93333333333334,296.89866666666666
140023,1400233,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5779,2003,Caroebe,14004,Sudeste de Roraima,14,RR,6,0,95.91666666666669,296.95666666666665
140028,1400282,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5411,2003,Iracema,14003,Caracaraí,14,RR,6,0,94.93333333333334,296.89866666666666
140030,1400308,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11445,2003,Mucajaí,14003,Caracaraí,14,RR,6,0,94.93333333333334,296.89866666666666
140040,1400407,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5743,2003,Normandia,14002,Nordeste de Roraima,14,RR,6,0,95.95833333333331,295.71
140045,1400456,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7592,2003,Pacaraima,14001,Boa Vista,14,RR,6,0,95.95833333333331,295.71
140047,1400472,6,11,18.90909090909091,2.4545454545454546,3.727272727272727,0.5454545454545454,0,0,0,0,0,0.5454545454545454,21944,2003,Rorainópolis,14004,Sudeste de Roraima,14,RR,6,11,95.91666666666669,296.95666666666665
140050,1400506,6,1,82,4,5,1,0,0,0,0,1,1,5259,2003,São João da Baliza,14004,Sudeste de Roraima,14,RR,6,1,95.91666666666669,296.95666666666665
140060,1400605,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5891,2003,São Luiz,14004,Sudeste de Roraima,14,RR,6,0,95.91666666666669,296.95666666666665
140070,1400704,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6111,2003,Uiramutã,14002,Nordeste de Roraima,14,RR,6,0,95.95833333333331,295.71
140005,1400050,7,2,42,17,3.5,0.5,0.5,0,0,0,1,0.5,19971,2003,Alto Alegre,14001,Boa Vista,14,RR,7,2,93.62096774193547,295.3477419354839
140002,1400027,7,6,12.166666666666666,6.666666666666667,3.8333333333333335,0.3333333333333333,0.3333333333333333,0,0,0,0,0.5,5684,2003,Amajari,14001,Boa Vista,14,RR,7,6,93.62096774193547,295.3477419354839
140010,1400100,7,36,36.611111111111114,5.388888888888889,3.1944444444444446,0.3611111111111111,0.08333333333333333,0.02777777777777777,0,0,0.9166666666666666,0.75,221127,2003,Boa Vista,14001,Boa Vista,14,RR,7,36,93.85483870967742,296.65645161290325
140015,1400159,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11949,2003,Bonfim,14002,Nordeste de Roraima,14,RR,7,0,93.85483870967742,296.65645161290325
140017,1400175,7,20,28.35,2.55,3.15,0.25,0.15,0.05,0,0.35,0.05,0.55,9511,2003,Cantá,14002,Nordeste de Roraima,14,RR,7,20,93.85483870967742,296.65645161290325
140020,1400209,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15987,2003,Caracaraí,14003,Caracaraí,14,RR,7,0,93.85483870967742,296.65645161290325
140023,1400233,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5779,2003,Caroebe,14004,Sudeste de Roraima,14,RR,7,0,94.04032258064515,296.8322580645161
140028,1400282,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5411,2003,Iracema,14003,Caracaraí,14,RR,7,0,93.85483870967742,296.65645161290325
140030,1400308,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11445,2003,Mucajaí,14003,Caracaraí,14,RR,7,0,93.85483870967742,296.65645161290325
140040,1400407,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5743,2003,Normandia,14002,Nordeste de Roraima,14,RR,7,0,93.7258064516129,295.7522580645161
140045,1400456,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7592,2003,Pacaraima,14001,Boa Vista,14,RR,7,0,93.7258064516129,295.7522580645161
140047,1400472,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21944,2003,Rorainópolis,14004,Sudeste de Roraima,14,RR,7,0,94.04032258064515,296.8322580645161
140050,1400506,7,2,21.5,2.5,4.5,0.5,0.5,0,0,0,1,0.5,5259,2003,São João da Baliza,14004,Sudeste de Roraima,14,RR,7,2,94.04032258064515,296.8322580645161
140060,1400605,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5891,2003,São Luiz,14004,Sudeste de Roraima,14,RR,7,0,94.04032258064515,296.8322580645161
140070,1400704,7,4,11.75,5,3.5,0,0.25,0,0.25,0,0,0.75,6111,2003,Uiramutã,14002,Nordeste de Roraima,14,RR,7,4,93.7258064516129,295.7522580645161
140005,1400050,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19971,2003,Alto Alegre,14001,Boa Vista,14,RR,8,0,92.6774193548387,295.6306451612903
140002,1400027,8,2,27.5,0,2,0,0.5,0,0,0,0,0,5684,2003,Amajari,14001,Boa Vista,14,RR,8,2,92.6774193548387,295.6306451612903
140010,1400100,8,35,31.257142857142856,5.628571428571429,2.9714285714285715,0.37142857142857144,0,0.05714285714285714,0.02857142857142857,0,1,0.5714285714285714,221127,2003,Boa Vista,14001,Boa Vista,14,RR,8,35,94.0483870967742,296.7016129032258
140015,1400159,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11949,2003,Bonfim,14002,Nordeste de Roraima,14,RR,8,0,94.0483870967742,296.7016129032258
140017,1400175,8,15,20.266666666666666,1.4,3.2,0.4,0.06666666666666667,0.06666666666666667,0,0,0,0.5333333333333333,9511,2003,Cantá,14002,Nordeste de Roraima,14,RR,8,15,94.0483870967742,296.7016129032258
