especie,modelo,codMicroRes,nomeMicroRes,siglaUF,ano,mes,idMes,populacao,real_taxa,pred_taxa,residual,ci_low,ci_high,covered,test_start
P. vivax,paper_replica,11001,Porto Velho,RO,2012,1,109,559543,340.992559999857,242.40093187293775,98.59162812691926,120.18289925885946,1856.2156974530994,TRUE,109
P. vivax,paper_replica,11001,Porto Velho,RO,2012,2,110,559543,263.2505455344808,223.67432159870145,39.57622393577935,100.03699447584904,1447.4222713893275,TRUE,109
P. vivax,paper_replica,11001,Porto Velho,RO,2012,3,111,559543,284.1604666665475,230.11632368228024,54.04414298426727,80.50766429032265,1338.1679334742805,TRUE,109
P. vivax,paper_replica,11002,Guajará-Mirim,RO,2012,1,109,73193,91.53880835599033,91.73189512091353,-0.19308676492320842,26.539423168882276,584.003934802508,TRUE,109
P. vivax,paper_replica,11002,Guajará-Mirim,RO,2012,2,110,73193,94.27131009796018,84.64523846555335,9.626071632406834,19.776481357506867,522.3860205210876,TRUE,109
P. vivax,paper_replica,11002,Guajará-Mirim,RO,2012,3,111,73193,94.27131009796018,87.08319508882909,7.188115009131096,29.340237454401382,586.9755304469005,TRUE,109
P. vivax,paper_replica,11003,Ariquemes,RO,2012,1,109,176003,136.3613120230905,191.03673377251525,-54.67542174942474,73.39363533576133,1215.4906450458225,TRUE,109
P. vivax,paper_replica,11003,Ariquemes,RO,2012,2,110,176003,110.79356601876106,176.27827694582106,-65.48471092706001,57.05868649966194,1123.5603938569216,TRUE,109
P. vivax,paper_replica,11003,Ariquemes,RO,2012,3,111,176003,111.92991028562012,181.35526785194185,-69.42535756632172,70.33971011857753,1204.1556109839007,TRUE,109
P. vivax,paper_replica,11004,Ji-Paraná,RO,2012,1,109,294157,22.097043415590996,26.293219713713242,-4.196176298122246,7.640477704083194,162.17530094473358,TRUE,109
P. vivax,paper_replica,11004,Ji-Paraná,RO,2012,2,110,294157,21.75708890150498,24.261956740138636,-2.5048678386336576,8.498862852150383,174.43066117753443,TRUE,109
P. vivax,paper_replica,11004,Ji-Paraná,RO,2012,3,111,294157,20.737225359246935,24.960740978081375,-4.2235156188344405,7.980432218169209,149.28252599802127,TRUE,109
P. vivax,paper_replica,11005,Alvorada D'Oeste,RO,2012,1,109,69841,25.772826849558285,15.477915910053726,10.29491093950456,0.6801162640855678,118.23284317234851,TRUE,109
P. vivax,paper_replica,11005,Alvorada D'Oeste,RO,2012,2,110,69841,14.31823713864349,14.282224484428186,0.03601265421530364,0,81.6139516902679,TRUE,109
P. vivax,paper_replica,11005,Alvorada D'Oeste,RO,2012,3,111,69841,28.63647427728698,14.693632091525679,13.9428421857613,0.6801162640855678,90.41966753053345,TRUE,109
P. vivax,paper_replica,11006,Cacoal,RO,2012,1,109,228654,11.370892265169207,12.472623016243713,-1.1017307510745056,3.706473536434963,73.7030622687554,TRUE,109
P. vivax,paper_replica,11006,Cacoal,RO,2012,2,110,228654,9.184182214175129,11.509076697316528,-2.3248944831413993,2.3944475058385164,81.68455395488368,TRUE,109
