cod_micro_res,nome_micro_res,ano,mes,difs_bell,difs_nbinomial,difs_poisson,new_difs,type,metric
11001,Porto Velho,2003,1,0.02196036814345725,0.8833094830321861,0.00326601827339523,0.00326601827339523,Falciparum,Ordinary Error
11001,Porto Velho,2003,2,0.01963888867527341,0.6181502634025506,0.00307639392069014,0.00307639392069014,Falciparum,Ordinary Error
11001,Porto Velho,2003,3,0.02387540810726007,0.9415768111635728,0.00355505700739566,0.00355505700739566,Falciparum,Ordinary Error
11001,Porto Velho,2003,4,0.02576074010550977,1.1101939780729246,0.00373705074377683,0.00373705074377683,Falciparum,Ordinary Error
11001,Porto Velho,2003,5,0.01967859793880189,0.6380686371784097,0.00305946287951042,0.00305946287951042,Falciparum,Ordinary Error
11001,Porto Velho,2003,6,0.02331694563997688,1.0919470734302752,0.0033816794975805,0.0033816794975805,Falciparum,Ordinary Error
11001,Porto Velho,2003,7,0.02239242641145056,1.1278162275450794,0.00322991566603514,0.00322991566603514,Falciparum,Ordinary Error
11001,Porto Velho,2003,8,0.02154893391638523,1.0928315189063014,0.00310201234036,0.00310201234036,Falciparum,Ordinary Error
11001,Porto Velho,2003,9,0.01496402822165365,0.4277239595042446,0.00236771383781575,0.00236771383781575,Falciparum,Ordinary Error
11001,Porto Velho,2003,10,0.02729075570071648,1.9295445153563289,0.0036100200179443,0.0036100200179443,Falciparum,Ordinary Error
11001,Porto Velho,2003,11,0.02567749523897866,1.660991255098132,0.00347791055676038,0.00347791055676038,Falciparum,Ordinary Error
11001,Porto Velho,2003,12,0.02424704324564208,1.411833758136525,0.00335932442321951,0.00335932442321951,Falciparum,Ordinary Error
11001,Porto Velho,2004,1,0.02251120339177648,1.5056591860825637,0.00303717959385219,0.00303717959385219,Falciparum,Ordinary Error
11001,Porto Velho,2004,2,0.01915188099308684,0.9248623288322192,0.00275671968563573,0.00275671968563573,Falciparum,Ordinary Error
11001,Porto Velho,2004,3,0.02139284099528149,1.1642534007735867,0.00298528650102669,0.00298528650102669,Falciparum,Ordinary Error
11001,Porto Velho,2004,4,0.02162840920162523,1.1353894799739277,0.00300666954262363,0.00300666954262363,Falciparum,Ordinary Error
11001,Porto Velho,2004,5,0.01893845069957978,0.8716607504154763,0.00273194329045001,0.00273194329045001,Falciparum,Ordinary Error
11001,Porto Velho,2004,6,0.01836889345941728,0.888919882619466,0.0026330382228874,0.0026330382228874,Falciparum,Ordinary Error
11001,Porto Velho,2004,7,0.01813472285856088,0.9472978045442708,0.00256583026187717,0.00256583026187717,Falciparum,Ordinary Error
11001,Porto Velho,2004,8,0.01380054570393096,0.4672424313530881,0.00208176932901937,0.00208176932901937,Falciparum,Ordinary Error
11001,Porto Velho,2004,9,0.0154630818515451,0.6088105803273793,0.00229552722327008,0.00229552722327008,Falciparum,Ordinary Error
11001,Porto Velho,2004,10,0.01359587269842599,0.41836460826478783,0.00206401057215588,0.00206401057215588,Falciparum,Ordinary Error
11001,Porto Velho,2004,11,0.01594578624631726,0.6960904157669874,0.00233765753797721,0.00233765753797721,Falciparum,Ordinary Error
11001,Porto Velho,2004,12,0.01274751446002175,0.3849404900432396,0.00201216170704521,0.00201216170704521,Falciparum,Ordinary Error
11001,Porto Velho,2005,1,0.0127012798790862,0.3874704859373226,0.00196293069718001,0.00196293069718001,Falciparum,Ordinary Error
11001,Porto Velho,2005,2,0.01300070581187129,0.41888216326678784,0.002006898080116,0.002006898080116,Falciparum,Ordinary Error
11001,Porto Velho,2005,3,0.0133964762800034,0.4588399727531942,0.00204637258500239,0.00204637258500239,Falciparum,Ordinary Error
11001,Porto Velho,2005,4,0.01279519470946954,0.39095972150537794,0.0019699830720683,0.0019699830720683,Falciparum,Ordinary Error
11001,Porto Velho,2005,5,0.01462548736827562,0.6066745977457919,0.00217948794473654,0.00217948794473654,Falciparum,Ordinary Error
11001,Porto Velho,2005,6,0.0163634052101318,0.8949343542108581,0.00235253027817838,0.00235253027817838,Falciparum,Ordinary Error
11001,Porto Velho,2005,7,0.0123900919738924,0.4713936899473561,0.00189046460300223,0.00189046460300223,Falciparum,Ordinary Error
11001,Porto Velho,2005,8,0.00890091826841632,0.11583101202014978,0.00148772741733282,0.00148772741733282,Falciparum,Ordinary Error
11001,Porto Velho,2005,9,0.00993731223743066,0.2118455837933384,0.0016558777068989,0.0016558777068989,Falciparum,Ordinary Error
11001,Porto Velho,2005,10,0.0114688783271375,0.335301428155224,0.00181765244728637,0.00181765244728637,Falciparum,Ordinary Error
11001,Porto Velho,2005,11,0.01901771284883002,1.2416402139938656,0.00267321952930066,0.00267321952930066,Falciparum,Ordinary Error
